id,name,description,cover,rating,release_date,created_at,updated_at
51,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:48:04.409977,2025-06-07 02:48:04.409990
52,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:51:13.164142,2025-06-07 02:51:13.164164
53,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:51:30.409492,2025-06-07 02:51:30.409514
54,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:51:40.489496,2025-06-07 02:51:40.489521
55,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:51:48.182703,2025-06-07 02:51:48.182717
56,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:51:56.545221,2025-06-07 02:51:56.545244
57,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:52:02.584349,2025-06-07 02:52:02.584375
58,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:53:19.701315,2025-06-07 02:53:19.701344
59,Fullmetal Alchemist,Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.,"https://m.media-amazon.com/images/M/MV5BOTkxYTQwMmMtYWNiZC00MGFiLWIzOWYtNjZhZTIwNjU4Njk2XkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg",5.3,2017-12-01,2025-06-07 02:53:34.485881,2025-06-07 02:53:34.485894
60,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:54:18.073965,2025-06-07 02:54:18.073991
61,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:54:29.421769,2025-06-07 02:54:29.421794
62,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:55:54.744904,2025-06-07 02:55:54.744928
63,Fullmetal Alchemist: Final Transmutation,"The Elric brothers' long and winding journey comes to a close in this epic finale, where they must face off against an unworldly, nationwide threat.","https://m.media-amazon.com/images/M/MV5BM2I1ODViNjktYzA0OC00YmQ3LThmOWYtZDY3OTRiMjRkMGM2XkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg",5.5,2022-09-24,2025-06-07 02:56:06.113823,2025-06-07 02:56:06.113838
64,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:57:10.181346,2025-06-07 02:57:10.181370
